통합지역,평균강수량(mm)
강릉,1537.0300000000002
강진군,1587.8
강화,1345.82
거제,2160.54
거창,1259.42
경주시,1109.1
고산,1337.9
고창,1185.12
고창군,1229.7
고흥,1437.7
광양시,1720.22
광주,1501.56
구미,1225.74
군산,1491.64
금산,1442.82
김해시,1545.74
남원,1435.42
남해,2130.38
대관령,1321.16
대구,1042.82
대전,1465.92
동두천,1436.68
동해,1260.04
목포,1226.34
문경,1489.24
밀양,1303.88
백령도,1039.04
보령,1395.8
보성군,1684.94
보은,1406.64
봉화,1302.22
부산,1818.5900000000001
부안,1408.36
부여,1529.32
산청,1540.54
상주,1365.24
서귀포,2051.02
서산,1520.5
서울,1504.62
서청주,1631.1
성산,2062.38
세종,1515.78
속초,1585.14
수원,1474.3
순창군,1548.0
순천,1664.82
안동,1086.16
양산시,1674.92
양평,1482.86
여수,1607.26
영광군,1268.2
영덕,1095.02
영월,1312.68
영주,1509.1
영천,1089.72
완도,1514.26
울릉도,1537.48
울산,1352.38
울진,1185.88
원주,1318.04
의령군,1433.82
의성,1050.22
이천,1524.56
인제,1233.86
인천,1279.28
임실,1504.0
장수,1653.24
장흥,1590.54
전주,1538.68
정선군,1290.94
정읍,1443.44
제주,1427.12
제천,1477.82
진도군,1445.56
진주,1667.06
창원,1690.17
천안,1312.5
철원,1546.04
청송군,1068.58
청주,1387.42
추풍령,1278.94
춘천,1368.1100000000001
충주,1477.16
태백,1335.92
통영,1799.28
파주,1458.26
포항,1181.56
함양군,1329.88
합천,1342.56
해남,1351.2
홍성,1509.94
홍천,1356.18
흑산도,1048.94
