통합지역,합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2)
강릉,2343.23,52.62,5142.3
강진군,2098.98,47.19,5297.15
강화,2244.76,50.65,
거제,2142.96,48.31,
거창,2375.38,53.38,
경주시,2281.86,51.34,5304.04
고산,2143.74,48.15,5029.83
고창,2110.48,49.03,5096.92
고창군,2078.1,46.66,5319.86
고흥,2239.94,50.29,4325.13
광양시,2281.66,51.33,5490.23
광주,2240.28,50.67,5525.38
구미,2240.78,50.39,0.0
군산,2318.44,52.12,
금산,2156.26,48.67,
김해시,2325.9,52.5,5398.41
남원,2207.08,49.83,
남해,2260.32,50.78,
대관령,2346.06,54.4,5433.04
대구,2431.24,54.63,5561.81
대전,2336.56,52.91,5378.89
동두천,2371.38,53.19,4046.21
동해,2356.88,53.18,1915.56
목포,2265.54,50.89,5444.19
문경,2207.94,49.54,
밀양,2358.22,53.02,
백령도,2228.76,49.99,5511.41
보령,2153.12,48.68,4720.14
보성군,2296.6,51.59,5666.29
보은,2140.88,48.49,
봉화,2133.36,47.95,
부산,2262.55,53.07,5591.14
부안,2169.3,48.69,
부여,2184.32,49.21,
산청,2150.24,48.27,
상주,2312.6,52.02,4337.71
서귀포,2195.28,49.36,4020.65
서산,2314.34,51.98,5278.04
서울,2246.98,50.56,5203.09
서청주,2237.1,50.32,5596.74
성산,2046.24,45.96,
세종,2174.42,48.93,3464.93
속초,2412.96,54.67,1900.34
수원,2425.26,54.42,5189.18
순창군,2085.76,46.82,5438.08
순천,2139.26,48.08,
안동,2436.46,54.81,5556.85
양산시,2144.7,48.23,5393.37
양평,2156.8,48.39,0.0
여수,2477.28,55.65,5451.71
영광군,2218.58,49.98,5365.18
영덕,2366.56,53.2,
영월,2248.72,50.46,0.0
영주,2258.4,50.71,
영천,2190.02,49.32,
완도,2222.34,50.31,2219.14
울릉도,1924.28,43.19,4992.76
울산,2476.88,55.6,5373.6
울진,2464.4,55.33,0.0
원주,2306.02,51.75,5216.92
의령군,2250.44,50.98,5579.27
의성,2168.08,48.71,
이천,2010.22,45.11,0.0
인제,1900.64,42.94,
인천,2484.62,55.74,5322.95
임실,2070.12,46.46,
장수,2012.98,45.29,0.4
장흥,2283.28,51.27,
전주,2317.24,52.08,5175.09
정선군,1779.96,41.38,
정읍,2200.82,49.74,2100.83
제주,1911.74,43.11,4945.71
제천,2227.1,50.16,0.0
진도군,2030.52,45.69,
진주,2535.18,56.98,5605.86
창원,2314.62,52.09,5341.16
천안,2202.54,50.04,
철원,2585.14,58.03,5298.93
청송군,2217.38,49.81,5503.17
청주,2302.74,51.7,5421.06
추풍령,2228.22,50.18,5435.31
춘천,2331.17,52.36,5218.37
충주,2255.32,50.63,4027.14
태백,1907.78,44.19,1531.35
통영,2415.96,54.39,5346.04
파주,2394.38,53.71,4147.86
포항,2500.96,56.17,5345.77
함양군,2153.72,48.55,5544.56
합천,2168.1,49.31,
해남,2285.18,51.47,0.0
홍성,2394.76,53.84,5210.3
홍천,2007.4,45.08,
흑산도,2037.8,46.1,5012.84
